,Report Number,Latitude,Longitude,County,City
0,MCP23480052,39.04165333,-77.05187667,Montgomery County,
1,MCP20160048,38.953,-77.338,Fairfax County,
2,MCP3171000V,39.201165,-77.24834333,Montgomery County,Germantown
3,MCP3000002N,39.17525182,-77.25361113,Montgomery County,Germantown
4,EJ7876000N,39.157775,-77.20400167,Montgomery County,
5,MCP20080062,39.01409667,-77.21513667,Montgomery County,
6,DM83360036,38.98614597,-77.00901046,Montgomery County,
7,DM8456001L,38.98627833,-76.98751833,Montgomery County,
8,MCP3111002K,38.97672396,-77.0772812,Montgomery County,
9,MCP28710065,39.04198667,-77.12334833,Montgomery County,
10,MCP2951002D,39.10769717,-77.072951,Montgomery County,
11,MCP94190029,39.05679833,-77.12618667,Montgomery County,
12,MCP2054000K,38.99464661,-77.03620287,Montgomery County,Silver Spring
13,MCP2812005H,38.99814,-77.03068,Montgomery County,Silver Spring
14,EJ7878001D,39.14068025,-77.19341273,Montgomery County,
15,MCP3073004V,39.08379167,-77.08135167,Montgomery County,
16,MCP32710006,39.107415,-77.20955833,Montgomery County,Germantown
17,EJ7852003Q,39.12196736,-77.23327566,Montgomery County,
18,MCP3125002B,39.122035,-77.17094667,Montgomery County,
19,DM8374002K,38.98876,-76.98915833,Montgomery County,
20,DD5636001Z,39.08606428,-77.16204295,Montgomery County,
21,MCP2853007B,39.021095,-76.976515,Montgomery County,
22,MCP271700RV,38.96250683,-77.09145617,Montgomery County,Bethesda
23,MCP2008007X,39.01972667,-77.09671,Montgomery County,
24,MCP2372002C,38.964625,-77.10461667,Montgomery County,Bethesda
25,MCP2845005M,39.02594927,-77.02031117,Montgomery County,
26,EJ7851004R,39.14538076,-77.20329128,Montgomery County,
27,MCP3161001S,39.03274833,-77.07378833,Montgomery County,
28,MCP30580033,39.05513667,-77.16234833,Montgomery County,
29,DD5615007W,39.09323,-77.15333167,Montgomery County,
30,DD5637000V,39.09017783,-77.13585517,Montgomery County,
31,MCP2607004V,39.12595648,-77.18291136,Montgomery County,
32,MCP3158001F,39.16084,-77.163385,Montgomery County,
33,MCP2134002G,39.07680433,-77.00352593,Montgomery County,
34,MCP2347002H,39.054455,-76.96905333,Montgomery County,
35,MCP3076002W,38.99839992,-77.02878186,Montgomery County,Silver Spring
36,MCP3153001W,39.02998149,-77.04775969,Montgomery County,
37,MCP3212000Y,39.01531982,-76.97760212,Montgomery County,Silver Spring
38,EJ78360022,39.12481667,-77.196615,Montgomery County,
39,MCP2877006X,38.98972667,-77.030625,Montgomery County,Silver Spring
40,MCP3137000T,39.00036175,-76.98955953,Montgomery County,Silver Spring
41,MCP27770058,38.98268667,-77.098305,Montgomery County,Bethesda
42,DD56310025,39.11392333,-77.16615167,Montgomery County,
43,MCP3137000T,39.00036175,-76.98955953,Montgomery County,Silver Spring
44,MCP2450002L,38.997,-76.99190833,Montgomery County,Silver Spring
45,MCP2247000X,39.08165167,-76.94591,Montgomery County,Silver Spring
46,MCP3008001Y,39.0152112,-76.9768841,Montgomery County,Silver Spring
47,DD55270029,39.11215142,-77.16183609,Montgomery County,
48,MCP158000BJ,39.16800667,-77.205625,Montgomery County,
49,MCP30060048,39.03671667,-77.05157167,Montgomery County,Silver Spring
50,MCP3089002H,38.99725667,-77.02167667,Montgomery County,Silver Spring
51,MCP2708004Y,38.99378849,-76.99103481,Montgomery County,Silver Spring
52,MCP30060049,39.04920667,-77.07006,Montgomery County,
53,MCP3161001S,39.03274833,-77.07378833,Montgomery County,
54,MCP31810015,39.04758833,-77.040925,Montgomery County,
55,MCP3121002G,39.16144578,-77.20209489,Montgomery County,
56,DD56050073,39.07450917,-77.13577483,Montgomery County,
57,MCP1334008M,39.17055666,-77.20888418,Montgomery County,
58,MCP31090039,38.99094767,-77.02418567,Montgomery County,Silver Spring
59,EJ78700020,39.11428548,-77.20563496,Montgomery County,
60,MCP12330039,39.02790167,-77.07686167,Montgomery County,
61,MCP3161001S,39.03274833,-77.07378833,Montgomery County,
62,MCP26150037,39.08240609,-76.94673901,Montgomery County,
63,MCP3112003J,38.98563933,-77.09691383,Montgomery County,Bethesda
64,MCP3004003C,38.99326167,-77.05107167,Montgomery County,
65,MCP1389002J,39.15281153,-77.1985404,Montgomery County,
66,MCP3173000K,39.0229374,-77.01688638,Montgomery County,
67,MCP3173000K,39.0229374,-77.01688638,Montgomery County,
68,MCP2450002X,38.98692833,-77.02664,Montgomery County,Silver Spring
69,MCP2411003F,39.05699503,-77.08239273,Montgomery County,Silver Spring
70,MCP3125001K,39.081695,-77.2299,Montgomery County,
71,MCP137800QY,39.19168333,-77.15479,Montgomery County,
72,MCP3034003J,39.00631,-77.09784833,Montgomery County,Bethesda
73,MCP9301002V,39.11299333,-77.191215,Montgomery County,
74,EJ78640021,39.11594833,-77.20430167,Montgomery County,
75,MCP3173000K,39.0229374,-77.01688638,Montgomery County,
76,MCP137800R1,39.17218667,-77.15340333,Montgomery County,
77,MCP3112002D,38.98528268,-77.05698994,Montgomery County,
78,MCP1151009M,39.284304,-77.2021715,Montgomery County,Germantown
79,MCP2820003K,39.10735833,-77.07343167,Montgomery County,
80,MCP2622001Z,39.07157892,-77.01142405,Montgomery County,
81,EJ7858003N,39.13214833,-77.19136167,Montgomery County,
82,MCP31560011,38.99460544,-77.03637746,Montgomery County,Silver Spring
83,MCP3105002M,39.18241917,-77.261541,Montgomery County,Germantown
84,MCP2667006J,39.13180626,-77.17504441,Montgomery County,
85,MCP2039005P,39.08048,-77.08027833,Montgomery County,
86,MCP2971005F,39.15820167,-77.2683,Montgomery County,Germantown
87,DD5620004P,39.08694417,-77.1672065,Montgomery County,
88,MCP31560011,38.99460544,-77.03637746,Montgomery County,Silver Spring
89,MCP3057001W,39.17633667,-77.26390167,Montgomery County,Germantown
90,MCP2347002H,39.054455,-76.96905333,Montgomery County,
91,DM8477000M,38.992468,-76.992599,Montgomery County,
92,MCP3232000F,39.05764833,-77.077665,Montgomery County,
93,MCP2992002T,39.082715,-77.048455,Montgomery County,
94,MCP2475004W,39.02432,-77.03063667,Montgomery County,
95,MCP2436009N,38.99978841,-76.99156582,Montgomery County,Silver Spring
96,MCP3218000F,39.04683667,-77.03076667,Montgomery County,Silver Spring
97,MCP24920019,39.07798974,-77.140867,Montgomery County,
98,HA24750004,38.98509008,-77.05971297,Montgomery County,
99,MCP3164001W,39.039275,-77.054065,Montgomery County,
100,MCP3010003X,39.04444,-77.11192667,Montgomery County,
101,MCP31090044,38.98270633,-77.02251933,Montgomery County,Silver Spring
102,MCP27500043,39.06246167,-77.09525833,Montgomery County,
103,MCP3165001B,39.05337167,-76.96811,Montgomery County,
104,MCP2710002W,39.15274521,-77.17336421,Montgomery County,
105,MCP27990053,39.15452301,-77.05705246,Montgomery County,
106,DD56350015,39.09605299,-77.13893373,Montgomery County,
107,MCP31110017,38.98814517,-77.07924283,Montgomery County,
108,MCP3178000V,39.08078667,-77.001345,Montgomery County,
109,MCP271700P1,39.045444,-77.10475833,Montgomery County,
110,MCP28290061,38.99579,-77.03594833,Montgomery County,Silver Spring
111,MCP3119001L,39.19784233,-77.18286417,Montgomery County,
112,EJ78510043,39.14519136,-77.22002609,Montgomery County,
113,EJ7875000L,39.15061333,-77.2037,Montgomery County,
114,MCP23580067,39.04427833,-77.06305833,Montgomery County,
115,MCP2853007B,39.021095,-76.976515,Montgomery County,
116,MCP2937003N,38.99279534,-77.0259186,Montgomery County,Silver Spring
117,MCP2714001L,39.05647487,-77.08386766,Montgomery County,
118,MCP2739002Q,39.02178333,-77.01490167,Montgomery County,
119,MCP3206000T,38.99871335,-76.99901076,Montgomery County,Silver Spring
120,MCP3154001D,39.157263,-77.27576536,Montgomery County,Germantown
121,MCP2722003D,39.10100167,-77.07414667,Montgomery County,
122,MCP31430029,39.04735167,-77.11233833,Montgomery County,
123,MCP29340040,39.051115,-77.12608667,Montgomery County,
124,MCP2965004N,39.169105,-77.06162333,Montgomery County,
125,MCP2995006C,39.09438,-77.08992,Montgomery County,
126,MCP2358007K,38.96098,-77.1162,Montgomery County,Bethesda
127,MCP3093002W,38.99148833,-77.04744833,Montgomery County,Silver Spring
128,MCP31990021,39.05463833,-77.07975333,Montgomery County,
129,DM83860014,38.98424833,-77.004625,Montgomery County,
130,MCP31630022,38.96543198,-77.08796832,Montgomery County,
131,MCP27260045,39.05404121,-77.12227364,Montgomery County,
132,MCP2866005S,39.02835348,-77.09771704,Montgomery County,
133,MCP3206000T,38.99871335,-76.99901076,Montgomery County,Silver Spring
134,MCP2286002R,39.05912167,-77.12124667,Montgomery County,
135,DM83880036,38.98772,-77.00354,Montgomery County,
136,MCP2710003B,39.12410167,-77.18020833,Montgomery County,
137,MCP3130002F,39.07968167,-77.079065,Montgomery County,
138,MCP2008007X,39.01972667,-77.09671,Montgomery County,
139,MCP29170069,39.05552833,-77.08361833,Montgomery County,
140,MCP2845005Z,39.01948333,-77.01361817,Montgomery County,
141,MCP2941003W,38.99817812,-77.03059596,Montgomery County,Silver Spring
142,MCP29230065,39.0398028,-77.05355168,Montgomery County,
143,MCP2048002Z,38.999145,-76.99770833,Montgomery County,Silver Spring
144,DD5595007M,39.08614417,-77.13798867,Montgomery County,
145,MCP3187000N,39.07740667,-77.04602833,Montgomery County,
146,MCP2782002Z,39.08502417,-77.07865717,Montgomery County,
147,MCP1575008Z,39.07045167,-77.11396667,Montgomery County,
148,MCP2982002P,39.00257435,-76.99564083,Montgomery County,Silver Spring
149,MCP2686003D,39.08103879,-77.13736851,Montgomery County,
150,DD5610005Q,39.07886167,-77.142135,Montgomery County,
151,MCP3040003B,39.13253102,-77.07068139,Montgomery County,
152,MCP2952008N,39.02181667,-77.04504,Montgomery County,
153,MCP24550030,39.12238907,-77.17759962,Montgomery County,
154,MCP2983003R,39.05208846,-77.05003182,Montgomery County,
155,MCP3050003M,39.07884667,-77.07989833,Montgomery County,
156,MCP3188000V,39.02994333,-77.11263,Montgomery County,
157,MCP2941003F,38.99970195,-77.0281017,Montgomery County,Silver Spring
158,DM84580027,38.98616333,-77.00342667,Montgomery County,
159,MCP2693002Z,39.08788167,-77.06415833,Montgomery County,
160,MCP2545000P,39.03904366,-77.05694633,Montgomery County,
161,MCP3020003S,39.09059333,-77.04808667,Montgomery County,Silver Spring
162,DM8456000F,38.97849167,-77.001665,Montgomery County,
163,DM83390013,38.98684667,-76.98909333,Montgomery County,
164,DM84370014,38.98847333,-77.00094167,Montgomery County,
165,DM8463000D,38.98226167,-77.01355833,Montgomery County,
166,DM8338000T,38.98000694,-77.01715887,Montgomery County,
167,MCP3161001G,38.99685167,-77.09608167,Montgomery County,Bethesda
168,DM8339000J,38.99062116,-76.98955894,Montgomery County,
169,MCP31740013,39.15565167,-77.16581,Montgomery County,
170,DM83360010,38.99255995,-76.99145928,Montgomery County,Silver Spring
171,DM83360021,38.98479211,-76.99848412,Montgomery County,
172,DM8434001S,38.98354667,-77.01549167,Montgomery County,
173,DM84470016,38.985899,-76.988181,Montgomery County,
174,MCP28090049,38.99823155,-77.03063312,Montgomery County,Silver Spring
175,MCP003600B8,39.15423749,-77.28721828,Montgomery County,Germantown
176,MCP3112002K,38.9782655,-77.09131317,Montgomery County,Bethesda
177,MCP3053003C,39.03647056,-77.03046303,Montgomery County,
178,DD5527002C,39.08034822,-77.14412258,Montgomery County,
179,MCP2934003R,39.02661289,-77.14558403,Montgomery County,
180,MCP137800RB,39.16099,-77.1448,Montgomery County,
181,EJ7852002G,39.141925,-77.22315833,Montgomery County,
182,DM8388002B,38.98045138,-77.01085419,Montgomery County,
183,DM8453000C,38.98126317,-77.01094151,Montgomery County,
184,DM8434001P,38.927975,-77.01557667,,Washington
185,DM8374000Q,38.981335,-77.01154,Montgomery County,
186,DM8463000L,38.96627446,-77.00259447,Prince George's County,
187,HA2396000M,38.9733951,-77.1012186,Montgomery County,Bethesda
188,DM8456001Z,38.986505,-76.98552333,Montgomery County,
189,MCP31690016,39.01231692,-76.98125379,Montgomery County,Silver Spring
190,MCP3061001D,39.18140438,-77.23826041,Montgomery County,Germantown
191,HA2386000J,38.973437,-77.101287,Montgomery County,Bethesda
192,DM8450000C,38.979885,-77.007915,Montgomery County,
193,DM83740015,38.98581167,-76.98761333,Montgomery County,
194,DM8457000R,38.98447403,-77.01421246,Montgomery County,
195,DM8439000Y,38.98579833,-76.987405,Montgomery County,
196,DM8423001V,38.98690833,-77.00008,Montgomery County,
197,DM83380008,38.98902,-76.98776,Prince George's County,
198,DM8437001N,38.98613361,-77.00365663,Montgomery County,
199,DM8439003C,38.99262833,-76.992025,Montgomery County,Silver Spring
200,MCP2674001C,39.19706648,-77.25143575,Montgomery County,Germantown
201,DM8445001H,38.98556444,-76.98794156,Montgomery County,
202,DM8270000C,38.97713471,-76.99922562,Montgomery County,
203,DM8450000C,38.979885,-77.007915,Montgomery County,
204,MCP15950012,39.03193789,-77.04824427,Montgomery County,
205,DM8388002P,39.07586847,-77.11114121,Montgomery County,
206,DM8374000R,38.97596,-76.99699833,Montgomery County,
207,DM8447000H,38.988001,-76.987934,Montgomery County,
208,DM83520001,38.981464,-77.014067,Montgomery County,
209,DM8445001H,38.98556444,-76.98794156,Montgomery County,
210,MCP3076002G,38.999279,-77.01825717,Montgomery County,Silver Spring
211,DM83880030,38.55400492,-79.18192616,Rockingham County,
212,DM8434001Q,38.98933333,-76.98869833,Montgomery County,
213,DM82660003,38.97624833,-77.01205167,Montgomery County,
214,DM8434001N,38.98563,-77.00221667,Montgomery County,
215,DM8463000L,38.96627446,-77.00259447,Prince George's County,
216,DM83780011,38.98111,-77.01016667,Montgomery County,
217,DM8430000Q,38.96673667,-77.00201833,Prince George's County,
218,MCP3181000R,39.05275333,-77.05123667,Montgomery County,
219,DM84230017,38.98651333,-77.02152333,Montgomery County,
220,MCP29680035,39.06590833,-77.16065,Montgomery County,
221,MCP2683003V,39.16032833,-77.20080167,Montgomery County,
